,datetime,Obs
1209,1980-10,
1210,1980-11,
1211,1980-12,
1212,1981-01,
1213,1981-02,
1214,1981-03,
1215,1981-04,
1216,1981-05,
1217,1981-06,
1218,1981-07,
1219,1981-08,-1.2380204670089228
1220,1981-09,-0.28018681568637405
1221,1981-10,
1222,1981-11,
1223,1981-12,
1224,1982-01,
1225,1982-02,
1226,1982-03,
1227,1982-04,
1228,1982-05,
1229,1982-06,
1230,1982-07,
1231,1982-08,
1232,1982-09,
1233,1982-10,
1234,1982-11,
1235,1982-12,
1236,1983-01,
1237,1983-02,
1238,1983-03,
1239,1983-04,
1240,1983-05,
1241,1983-06,
1242,1983-07,
1243,1983-08,
1244,1983-09,
1245,1983-10,
1246,1983-11,
1247,1983-12,
1248,1984-01,
1249,1984-02,
1250,1984-03,
1251,1984-04,
1252,1984-05,
1253,1984-06,
1254,1984-07,
1255,1984-08,
1256,1984-09,
1257,1984-10,
1258,1984-11,
1259,1984-12,
1260,1985-01,
1261,1985-02,
1262,1985-03,
1263,1985-04,
1264,1985-05,
1265,1985-06,
1266,1985-07,
1267,1985-08,
1268,1985-09,
1269,1985-10,
1270,1985-11,
1271,1985-12,
1272,1986-01,
1273,1986-02,
1274,1986-03,
1275,1986-04,
1276,1986-05,
1277,1986-06,
1278,1986-07,
1279,1986-08,
1280,1986-09,
1281,1986-10,
1282,1986-11,
1283,1986-12,
1284,1987-01,
1285,1987-02,
1286,1987-03,
1287,1987-04,
1288,1987-05,
1289,1987-06,
1290,1987-07,
1291,1987-08,
1292,1987-09,
1293,1987-10,
1294,1987-11,
1295,1987-12,
1296,1988-01,
1297,1988-02,
1298,1988-03,
1299,1988-04,
1300,1988-05,
1301,1988-06,
1302,1988-07,
1303,1988-08,
1304,1988-09,
1305,1988-10,
1306,1988-11,
1307,1988-12,
1308,1989-01,
1309,1989-02,
1310,1989-03,
1311,1989-04,
1312,1989-05,
1313,1989-06,
1314,1989-07,
1315,1989-08,
1316,1989-09,
1317,1989-10,
1318,1989-11,
1319,1989-12,
1320,1990-01,
1321,1990-02,
1322,1990-03,
1323,1990-04,
1324,1990-05,
1325,1990-06,
1326,1990-07,
1327,1990-08,
1328,1990-09,
1329,1990-10,
1330,1990-11,
1331,1990-12,
1332,1991-01,
1333,1991-02,
1334,1991-03,
1335,1991-04,
1336,1991-05,
1337,1991-06,
1338,1991-07,
1339,1991-08,
1340,1991-09,
1341,1991-10,
1342,1991-11,
1343,1991-12,
1344,1992-01,
1345,1992-02,
1346,1992-03,
1347,1992-04,
1348,1992-05,
1349,1992-06,
1350,1992-07,-0.1682672166493333
1351,1992-08,-0.038020467008923475
1352,1992-09,
1353,1992-10,
1354,1992-11,
1355,1992-12,
1356,1993-01,
1357,1993-02,
1358,1993-03,
1359,1993-04,
1360,1993-05,
1361,1993-06,
1362,1993-07,
1363,1993-08,
1364,1993-09,
1365,1993-10,
1366,1993-11,
1367,1993-12,
1368,1994-01,
1369,1994-02,
1370,1994-03,
1371,1994-04,
1372,1994-05,
1373,1994-06,
1374,1994-07,
1375,1994-08,
1376,1994-09,
1377,1994-10,
1378,1994-11,
1379,1994-12,
1380,1995-01,
1381,1995-02,
1382,1995-03,
1383,1995-04,
1384,1995-05,
1385,1995-06,
1386,1995-07,
1387,1995-08,
1388,1995-09,
1389,1995-10,
1390,1995-11,
1391,1995-12,
1392,1996-01,
1393,1996-02,
1394,1996-03,
1395,1996-04,
1396,1996-05,
1397,1996-06,
1398,1996-07,
1399,1996-08,
1400,1996-09,
1401,1996-10,
1402,1996-11,
1403,1996-12,
1404,1997-01,
1405,1997-02,
1406,1997-03,
1407,1997-04,
1408,1997-05,
1409,1997-06,
1410,1997-07,
1411,1997-08,
1412,1997-09,
1413,1997-10,
1414,1997-11,
1415,1997-12,
1416,1998-01,
1417,1998-02,2.4761384210646877
1418,1998-03,
1419,1998-04,
1420,1998-05,
1421,1998-06,
1422,1998-07,
1423,1998-08,
1424,1998-09,
1425,1998-10,
1426,1998-11,
1427,1998-12,
1428,1999-01,
1429,1999-02,
1430,1999-03,
1431,1999-04,
1432,1999-05,
1433,1999-06,
1434,1999-07,
1435,1999-08,
1436,1999-09,
1437,1999-10,
1438,1999-11,
1439,1999-12,
1440,2000-01,
1441,2000-02,
1442,2000-03,
1443,2000-04,
1444,2000-05,
1445,2000-06,
1446,2000-07,
1447,2000-08,
1448,2000-09,
1449,2000-10,
1450,2000-11,
1451,2000-12,
1452,2001-01,
1453,2001-02,
1454,2001-03,
1455,2001-04,
1456,2001-05,
1457,2001-06,
1458,2001-07,
1459,2001-08,
1460,2001-09,
1461,2001-10,
1462,2001-11,
1463,2001-12,
1464,2002-01,
1465,2002-02,
1466,2002-03,
1467,2002-04,
1468,2002-05,
1469,2002-06,
1470,2002-07,
1471,2002-08,
1472,2002-09,
1473,2002-10,
1474,2002-11,
1475,2002-12,
1476,2003-01,
1477,2003-02,
1478,2003-03,
1479,2003-04,
1480,2003-05,
1481,2003-06,
1482,2003-07,
1483,2003-08,
1484,2003-09,
1485,2003-10,
1486,2003-11,
1487,2003-12,
1488,2004-01,
1489,2004-02,
1490,2004-03,
1491,2004-04,2.670428597557864
1492,2004-05,0.12906410640848875
1493,2004-06,-3.270629919521019
1494,2004-07,3.3501719564032797
1495,2004-08,5.156898928275584
1496,2004-09,8.644107814827514
1497,2004-10,0.6736279854858829
1498,2004-11,-1.6885182114795327
1499,2004-12,-1.417731993695572
1500,2005-01,1.0221913650343346
1501,2005-02,-4.800347417002634
1502,2005-03,-2.306340404317771
1503,2005-04,1.0091813915119054
1504,2005-05,2.215621756229311
1505,2005-06,5.594797337278269
1506,2005-07,3.3224925063894055
1507,2005-08,4.274863814687045
1508,2005-09,2.630436408973953
1509,2005-10,1.5305765215530336
1510,2005-11,6.7946245721109335
1511,2005-12,5.0380477565272095
1512,2006-01,5.330889633809253
1513,2006-02,2.64055239257978
1514,2006-03,-3.236580542033872
1515,2006-04,2.244343460850315
1516,2006-05,0.3654773335456021
1517,2006-06,3.069137796221753
1518,2006-07,4.438223556077251
1519,2006-08,0.5383377536262834
1520,2006-09,1.59127807738761
1521,2006-10,1.1085338263711115
1522,2006-11,2.066128215063646
1523,2006-12,4.137959738939376
1524,2007-01,5.5570407204834105
1525,2007-02,-0.32052238973600744
1526,2007-03,4.8815013883274645
1527,2007-04,-3.445105653614826
1528,2007-05,1.5697882506791458
1529,2007-06,0.7297968110537383
1530,2007-07,1.1371073416388562
1531,2007-08,-0.5131024695889614
1532,2007-09,-1.5326615809997683
1533,2007-10,2.0155532695607015
1534,2007-11,0.34633234765911425
1535,2007-12,3.0312761133716712
1536,2008-01,4.63233705875443
1537,2008-02,2.4767808453595084
1538,2008-03,2.935902596925146
1539,2008-04,0.179367520874127
1540,2008-05,-1.7289236041599754
1541,2008-06,0.4905148142415001
1542,2008-07,-0.40109613842768965
1543,2008-08,-2.6476363658661874
1544,2008-09,-2.960425797555514
1545,2008-10,2.4217022630624037
1546,2008-11,-0.37128879362493805
1547,2008-12,4.436815864981888
1548,2009-01,0.8557315735373727
1549,2009-02,0.12063654779255018
1550,2009-03,1.0745600451960655
1551,2009-04,0.5379554986694917
1552,2009-05,0.5702335236630702
1553,2009-06,-3.356404490014892
1554,2009-07,-1.4656773334274398
1555,2009-08,-1.0218943854232023
1556,2009-09,-6.205817724287806
1557,2009-10,-4.911843182175547
1558,2009-11,-6.0481736157674515
1559,2009-12,-8.643793775833315
1560,2010-01,-8.80113337069395
1561,2010-02,-7.71292036356431
1562,2010-03,-4.925978057424139
1563,2010-04,-1.5380314133196844
1564,2010-05,0.9232603655847491
1565,2010-06,2.62182424009627
1566,2010-07,0.501961604573939
1567,2010-08,0.7564962823544406
1568,2010-09,3.8478007946463713
1569,2010-10,1.5332829768395762
1570,2010-11,-3.2300583291405474
1571,2010-12,-9.613251921957348
1572,2011-01,-2.3676253020790394
1573,2011-02,-0.7067551345138536
1574,2011-03,2.1647696551497084
1575,2011-04,4.1031507628232635
1576,2011-05,-0.7726080652654428
1577,2011-06,-2.1763136069828306
